source_character,target_character,source_line,text,character_name,is_synthetic
JACK,BATEMAN,I thought you did.,You did. I'm pretty sure you did.,BATEMAN,True
JACK,BATEMAN,I don't think that's true.,That's not true.,BATEMAN,True
JACK,BATEMAN,Where's Tyler?,Where's Tyler? I need to speak with him.,BATEMAN,True
JACK,BATEMAN,I don't know.,No idea.,BATEMAN,True
JACK,BATEMAN,"I... I don't know. I guess... when people think you're dying, they really listen, instead...","People think you're dying, they listen. Actually listen. Not just wait for their turn to talk about their reservations at Dorsia.",BATEMAN,True
JACK,BATEMAN,Where's your car?,Where did you park? Mercedes or the Range Rover?,BATEMAN,True
JACK,BATEMAN,You don't know that. There could still be people inside.,You have no idea. Someone's probably still in there.,BATEMAN,True
JACK,BATEMAN,Shit. Sorry. That didn't count.,That one doesn't count. It was nothing.,BATEMAN,True
JACK,BATEMAN,No!,"No, that's not happening.",BATEMAN,True
JACK,BATEMAN,Bob. I'm okay. How are you?,Bob. I'm fine. And you?,BATEMAN,True
JACK,BATEMAN,I'll expose you.,I'm going to tell everyone what you are.,BATEMAN,True
JACK,BATEMAN,You took me to the house.,You brought me here. To this house.,BATEMAN,True
JACK,BATEMAN,I don't follow...,What are you talking about?,BATEMAN,True
JACK,BATEMAN,Goodbye.,See you at Dorsia.,BATEMAN,True
JACK,BATEMAN,Please return your seatbacks to their full upright and locked position.,"Make sure your seatback's upright and locked. We're landing at JFK, not some regional airport in Connecticut.",BATEMAN,True
JACK,BATEMAN,Why do people think I'm you?,Why would anyone confuse me with you?,BATEMAN,True
JACK,BATEMAN,Wait a minute...,Hold on.,BATEMAN,True
JACK,BATEMAN,"I did, I think. But, I'm okay... I'm fine...",I did. But I'm fine. Really.,BATEMAN,True
JACK,BATEMAN,"You see, when you travel, everything is small, self-contained--",Travel shrinks everything down. Hermès carry-on. Hotel minibar. Nothing complicated.,BATEMAN,True
JACK,BATEMAN,Get your hands off him! Get off...! What the hell do you think you're doing... ? Evidence?! This is a man... ! You killed him!,Stop. Let go of him. What are you doing? Evidence? He's a person. You killed a person.,BATEMAN,True
JACK,BATEMAN,Answer the question!,Just answer it.,BATEMAN,True
JACK,BATEMAN,Because... I'm Tyler Durden.,I am Tyler Durden.,BATEMAN,True
JACK,BATEMAN,Paraffin.,"Paraffin. Industrial grade, probably from some discount supply warehouse.",BATEMAN,True
JACK,BATEMAN,Can't you give me something?,You're telling me there's nothing you can prescribe?,BATEMAN,True
JACK,BATEMAN,"It must've been Tuesday. he was wearing his ""cornflower-blue"" tie.","Tuesday. Cornflower blue tie — Armani, probably, or maybe Valentino if he was trying too hard.",BATEMAN,True
JACK,BATEMAN,Marla...,Marla. Fine. What is it.,BATEMAN,True
JACK,BATEMAN,"Why wasn't I told about ""Project Mayhem?""",How come nobody mentioned Project Mayhem to me?,BATEMAN,True
JACK,BATEMAN,"Okay, if that's what it takes, you'll never have to see me again. Here... here...",Fine. If that's the arrangement. I'll be gone. Take it... take it...,BATEMAN,True
JACK,BATEMAN,I don't know ...,I can't tell you that right now.,BATEMAN,True
JACK,BATEMAN,Hey.,How's it going.,BATEMAN,True
